Country,Year,Budget Deficit/Surplus,Capital Expenditure,Consumer Price Index (CPI),Defence Expenditure,Education Expenditure,Expenditure,Exports,Food Inflation,Food Inflation YoY,GDP Growth Rate,GDP per Capita,GDP per capita,Government Debt,Health Expenditure,Imports,Inflation Rate,Interest Rate,Labour Force,Nominal GDP,Population,Real GDP,Revenue,Tax Revenue,Unemployment Rate,Value Added Tax (VAT)
Algeria,2016,,,177.42,,,,29.3,4.39,,3.9,,,,,-49.44,4.82,,,19783349,,,,,,
Algeria,2017,,,191.74,,,,34.6,3.8,,1.5,,,,,-48.98,6.65,,,21071656,,,,,,
Algeria,2018,,,198.59,,,,41.1,4.59,,1.4,,,,,-48.57,5.22,,,22683845,,,,,,
Algeria,2019,,,203.74,,,,35.3,3.34,,0.9,,,,,-44.63,4.18,,,23090099,,,,,,
Algeria,2020,,,207.66,,,,21.9,-0.76,,-5,,,,,-35.55,1.9,,,20902124,,,,,,
Algeria,2021,,,216.45,,,,38.6,0.63,,3.8,,,,,-37.47,2.61,,,25153206,,,,,,
Algeria,2022,,,236,,,,65.7,10.9,,3.6,,,,,-38.87,7.62,,,32039527,,,,,,
Algeria,2023,,,257.98,,,,55,13.43,,3,,,,,-42.96,9.29,,,33638264,,,,,,
Algeria,2024,,,274.32,,,,,12.69,,3.6,,,,,,9.06,,,35788498.8,,,,,,
Algeria,2025,,,284.46,,,,,2.88,,,,,,,,3.84,,,,,,,,,
Angola,1990,,,,,,,3882.7,,,,,,,,,,,,,,,,,,
Angola,1991,,,,,,,3449.2,,,,,,,,,,,,,,,,,,
Angola,1992,,,,,,,3832.7,,,,,,,,,,,,,,,,,,
Angola,1993,,,,,,,2900.4,,,,,,,,,,,,,,,,,,
Angola,1994,,,,,,,3016.7,,,,,,,,,,,,,,,,,,
Angola,1995,,,,,,,3722.7,,,,,,,,,,,,,,,,,,
Angola,1996,,,,,,,5094.8,,,,,,,,,,,,,,,,,,
Angola,1997,,,,,,,5006.7,,,,,,,,,,,,,,,,,,
Angola,1998,,,,,,,3542.9,,,,,,,,,,,,,,,,,,
Angola,1999,,,,,,,5156.5,,,,,,,,,,,,,,,,,,
Angola,2000,,,,,,,7920.7,,,,,,,,,,,,,,,,,,
Angola,2001,,,,,,,6534.3,,,,,,,,,,,,,,,,,,
Angola,2002,,,,,,,8327.9,,,,55490,,,,,,,,753573.7197,13580345.51,,,,,
Angola,2003,,,,,,,9508.2,,,3.49,107760,,,,5480.12,,,,1517650.933,14083677.03,779853.1894,,,,
Angola,2004,,,,,,,13475,,,11.42,155336,,,,5831.78,,,,2255447.872,14519769.61,1690964.596,,,,
Angola,2005,,,,,,,24109.4,,,14.15,241374,,,,8353.24,,,,3608095.309,14948177.73,2574701.5,,,,
Angola,2006,,,,,,,31862.2,,,11.84,305893,,,,8777.63,,,,4713881.568,15410205.33,4035359.384,,,,
Angola,2007,,,,,,,44396.2,,,13,352609,,,,13661.46,,,,5602449.613,15888562.39,5326812.926,,,,
Angola,2008,,,,,,,63913.9,,,10.79,452873,,,,20982.19,,,,7412577.53,16367880,6206765.463,,,,
Angola,2009,,,,,,,40827.9,,,2,383775,,,,22659.94,,,,6481521.8,16888858,7560502.119,,,,
Angola,2010,,,,,,,50594.9,,,5.29,507350,,,,16666.86,,,,8781308.454,17308202.75,6824631.898,,,,
Angola,2011,,,,,,,67310.3,,,3.59,663525,,,,20228.45,,,,11793661.42,17774262.37,9096897.229,,,,
Angola,2012,,,,,,,71093.3,,,8.5,751446,,,,23703.84,,10.3,,13706611.88,18240321.99,12796490.94,,,,
Angola,2013,,,,,,,68246.5,,,4.88,793353,,,,26330.99,,10,,14840760.47,18706381.61,14375914.13,,,,
Angola,2014,,,,,,,59169.9,,,4.66,624129,,,,28580.27,,9.3,,16165667.82,25901182,15531705.26,,,,
Angola,2015,,,,,,,33181.1,,,0.76,592443,,,,20692.54,,9,,15807317.33,26681590,16289040.59,,,,
Angola,2016,,,,,,,27588.9,,,-1.7,682888,,,,13040.49,,12,,18781815.99,27503526,15538509.1,,,,
Angola,2017,,,,,,,34613.5,,,-0.15,818092,,,,14463.24,,16,,23200798.62,28359634,18753756.66,,,,
Angola,2018,,,,,,,40757.8,,,-0.59,987124,,,,15797.85,,18,,28873391.11,29250009,23062890.47,,,,
Angola,2019,,,,,,,34725.6,,,-0.2,1144586,,,,14127.06,,15.8,,34538508.02,30175553,28814292.98,,,,
Angola,2020,,,,,,,20937.4,,,-4.04,1235754,,,,9543.14,,15.5,,38466148.28,31127674,33142307.05,,,,
Angola,2021,,,101.5,,,,33581.5,,,2.1,1659871,,,,11794.85,,15.5,,53277982.46,32097671,39274996.18,,,,
Angola,2022,,,129.57,,,,50038,,,4.22,1982276,,,,17267.32,,20,,65586149.32,33086278,55524183.58,,,,
Angola,2023,,,145.83,,,,36884.7,,,1.26,2298268,,,,15084.85,12.55,19.5,,78322351.9,34078866.34,66414704.48,,,,
Angola,2024,,,177.89,,,,36795,,,3.79,,,,,14190.24,21.99,18,,,,,,,,
Angola,2025,,,224.99,,,,7778.95,,,3.51,,,,,3806.89,26.48,19.5,,,,,,,,
Botswana,1960,,,,,,,,,,,,,,,,,,,,516165,,,,,
Botswana,1961,,,,,,,,,,,,,,,,,,,,527942,,,,,
Botswana,1962,,,,,,,,,,,,,,,,,,,,540186,,,,,
Botswana,1963,,,,,,,,,,,,,,,,,,,,552966,,,,,
Botswana,1964,,,,,,,,,,,,,,,,,,,,566266,,,,,
Botswana,1965,,,,,,,,,,,,,,,,,,,,574664,,,,,
Botswana,1966,,,,,,,,,,,,,,,,,,,,577866,,,,,
Botswana,1967,,,,,,,,,,,,,,,,,,,,580933,,,,,
Botswana,1968,,,,,,,,,,,,,,,,,,,,583966,,,,,
Botswana,1969,,,,,,,,,,,,,,,,,,,,587066,,,,,
Botswana,1970,,,,,,,,,,,,,,,,,,,,590334,,,,,
Botswana,1971,,,,,,,,,,,,,,,,,,,,600481,,,,,
Botswana,1972,,,,,,,,,,,,,,,,,,,,622407,,,,,
Botswana,1973,,,,,,,,,,,,,,,,,,,,652408,,,,,
Botswana,1974,,,,,,,,,,,,,,,,,,,,685448,,,,,
Botswana,1975,,,,,,,,,,,,,,,,,,,,720380,,,,,
Botswana,1976,,,,,,,,,,,,,,,,,,,,758508,,,,,
Botswana,1977,,,,,,,,,,,,,,,,,,,,799574,,,,,
Botswana,1978,,,,,,,,,,,,,,,,,,,,849239,,,,,
Botswana,1979,,,,,,,,,,,,,,,,,,,,901742,,,,,
Botswana,1980,,,,,,,,,,,,,,,,,,,,937485,,,,,
Botswana,1981,,,,,,,,,,,,,,,,,,,,969996,,,,,
Botswana,1982,,,,,,,,,,,,,,,,,,,,1009269,,,,,
Botswana,1983,,,,,,,,,,,,,,,,,,,,1046137,,,,,
Botswana,1984,,,,,,,,,,,,,,,,,,,,1083660,,,,,
Botswana,1985,,,,,,,,,,,,,,,,,,,,1121945,,,,,
Botswana,1986,,,,,,,,,,,,,,,,,,,,1160650,,,,,
Botswana,1987,,,,,,,,,,,,,,,,,,,,1199167,,,,,
Botswana,1988,,,,,,,,,,,,,,,,,,,,1235476,,,,,
Botswana,1989,,,,,,,,,,,,,,,,,,,,1270274,,,,,
Botswana,1990,,,,,,,,,,,,,,,,,,,,1305696,,,,,
Botswana,1991,,,,,,,,,,,,,,,,,,,,1341756,,,,,
Botswana,1992,,,,,,,,,,,,,,,,,,,,1380033,,,,,
Botswana,1993,,,,,,,,,,,,,,,,,,,,1420115,,,,,
Botswana,1994,,,,,,,,,,,,,,,,,,,,1460023,,,,,
Botswana,1995,,,,,,,,,,,,,,,,,,,,1498836,,,,,
Botswana,1996,,,,,,,,,,,,,,,,,,,,1535914,,,,,
Botswana,1997,,,,,,,,,,,,,,,,,,,,1571691,,,,,
Botswana,1998,,,,,,,,,,,,,,,,,,,,1606899,,,,,
Botswana,1999,,,,,,,,,,,,,,,,,,,,1641997,,,,,
Botswana,2000,,,,,,,,,,,,,,,,,,,,1677382,,,,,
Botswana,2001,,,,,,,,,,,,,,,,,,,,1712254,,,,,
Botswana,2002,,,,,,,,,,,,,,,,,,,,1744763,,,,,
Botswana,2003,,,,,,,,,,,,,,,,,,,,1775736,,,,,
Botswana,2004,,,,,,,,,,,,,,,,,,,,1807146,,,,,
Botswana,2005,,,,,,,,,,,,,,,,,,,,1839877,,,,,
Botswana,2006,,,,,,,,,,,,,,,,,,,,1874516,,,,,
Botswana,2007,,,,,,,,,,,,,,,,,,,,1911201,,,,,
Botswana,2008,,,,,,,,,,,,,,,,,,,,1949970,,,,,
Botswana,2009,,,,,,,,,,,,,,,,,,,,1990673,,,,,
Botswana,2010,,,,,,,,,,,,,,,,,,,,2033111,,,,,
Botswana,2011,,,,,,,,,,,,,,,,,,,,2073535,,,,,
Botswana,2012,,,,,,,,,,,,,,,,,,,,2108617,,,,,
Botswana,2013,,,,,,,,,,,,,,,,,,,,2140682,152500.4,,,,
Botswana,2014,,,,,,,,,,,,,,,,,7.5,,,2172044,161188.6,,,,
Botswana,2015,,,,,,,,,,,,70162.76,,,,,7.25,,,2203273,39080.1,,,,
Botswana,2016,,,,,,,,,,,,74072.23,,,,,6,,,2234776,40475.1,,,,
Botswana,2017,,,,,,,,,,,,75946.28,,,,,5.5,,,2266747,41756.7,,,,
Botswana,2018,,,,,,,,,,,,77927.75,,,,,5,,,2299141,43344.6,,,,
Botswana,2019,,,,,,,,,,,,79087.81,,,,,5,,,2332083,45322.9,,,,
Botswana,2020,,,,,,,,,,,,70627.99,,,,,4.75,,,2365894,45831.4,,,,
Botswana,2021,,,,,,,,,,,,77876.73,,,,,3.75,,,2401441,46484,,,,
Botswana,2022,,,,,,,,,,,,80960,,,,,3.75,962319,,2439892,49490.6,,,25.4,
Botswana,2023,,,,,,,,,,,,82375.03,,,,,1.9,1063776,,2480244,52312.6,,,25.9,
Botswana,2024,,,,,,,,,,,,78804.33,,,,,1.9,1041204,,,49583.5,,,27.6,
Botswana,2025,,,,,,,,,,,,,,,,,1.9,,,,,,,,
Egypt,1982,,,,,,,,,,,,,,,,,,,22.5,,1319.4,,,,
Egypt,1983,,,,,,,,,,4.89,,,,,,,,,26.6,,1383.91,,,,
Egypt,1984,,,,,,,,,,9.75,,,,,,,,,31.6,,1518.78,,,,
Egypt,1985,,,,,,,,,,5.79,,,,,,,,,37.3,,1606.74,,,,
Egypt,1986,,,,,,,,,,4.74,,,,,,,,,44.1,,1682.97,,,,
Egypt,1987,,,,,,,,,,3.48,,,,,,,,,51.5,,1741.61,,,,
Egypt,1988,,,,,,,,,,5.39,,,,,,,,,61.6,,1835.43,,,,
Egypt,1989,,,,,,,,,,5.11,,,,,,,,,77,,1929.26,,,,
Egypt,1990,,,,,,,,,,5.78,,,,,,,,,95.8,,2040.68,,,,
Egypt,1991,,,,,,,,,,1.15,,,,,,,,,112.5,,2064.13,,,,
Egypt,1992,,,,,,,,,,4.26,,,,,,,,,139.1,,2152.09,,,,
Egypt,1993,,,,,,,,,,3,,,,,,,,,155.2,,2216.6,,,,
Egypt,1994,,,,,,,,,,3.97,,,,,,,,,175,,2304.56,,,,
Egypt,1995,,,,,,,,,,4.58,,,,,,,,,204,,2410.11,,,,
Egypt,1996,,,,,,,,,,5.11,,,,,,,,,229.4,,2533.25,,,,
Egypt,1997,,,,,,,,,,5.32,,,,,,,,,265.9,,2668.12,,,,
Egypt,1998,,,,,,,,,,4.18,,,,,,,,,287.4,,2779.54,,,,
Egypt,1999,,,,,,,,,,5.91,,,,,,,,,307.6,,2943.73,,,,
Egypt,2000,,,,,,,,,,5.58,,,,,,2.9,,,340.1,,3107.92,,,,
Egypt,2001,,,,,,,,,,3.4,,,,,,2.6,,,358.7,,3213.48,,,,
Egypt,2002,,,,,,,,,,2.37,,,,,,2.4,,,378.9,,3289.71,,,,
Egypt,2003,,,,,,,,,,3.19,,,,,,2.9,,,417.5,,3394.73,,,,
Egypt,2004,,,,,,,,,,4.09,,,18964.5,,,12.7,,,485.3,,3533.57,,,,
Egypt,2005,,,,,,,,,,4.47,,,18231,,,9.4,,,538.5,,3691.99,,,,
Egypt,2006,,,138.3,,,,18455.1,,,6.84,,,18864.5,,30441,3.4,,,617.7,,3945.32,,,,
Egypt,2007,-56213,,155.5,17718,,244018,22017.5,,,7.09,,,19492,,38308.1,12.4,,,744.8,,4225.22,205654,114326,,
Egypt,2008,-67563,,110.5,19849,,305795,29355.8,,,7.16,,,21641.1,,52771.2,10.5,,,895.5,,4527.8,248835,137195,,
Egypt,2009,-72379,,126.4,22267,,356944,25168.9,,,4.67,,,25817.7,,50342.2,14.4,,,1042.2,,4739.07,288545,163222,,
Egypt,2010,-98886,,100,23453,,396768,23873.1,,,5.15,,,26249.3,,48993.1,13.9,,,1206.6,,4983.15,303361,170494,9,
Egypt,2011,-134138,,110.8,26484,,440410,26992.5,,,1.76,,,27092.2,,54095.5,10.8,10.7,,1371.1,,5070.09,302010,192072,12,
Egypt,2012,-165689,,120.3,26018,,516422,25071.9,,,2.23,,,25594.4,,59210.9,8.6,11.9,,1674.7,,5183.44,348865,207410,12.7,
Egypt,2013,-246853,,127.9,28739,,644080,26988.1,,,2.19,,,28489.6,,57682.8,6.3,12.1,,1860.4,,5296.37,403637,251118,13.2,
Egypt,2014,-254715,,142.4,31844,,759847,26022.6,,,2.92,,,29054,,60181.9,11.4,11.8,,2130,,5451.64,519449,260289,13,
Egypt,2015,-284314,,156.2,41477,,805929,22245.1,,,4.37,,,25707.2,,61305.5,9.7,11.7,,2443.9,,5689.25,538378,305957,12.8,
Egypt,2016,-244653,,171.9,30854,,586805,18704.6,,,4.35,,,24436.7,,57387.7,10.1,11.9,,2709.4,,5936.11,331741,352315,12.5,
Egypt,2017,-366401,,220.3,48934,,1116985,21728.2,,,4.18,,,34874.7,,59003,28.1,16.5,,3655.9,,6184.85,755110,462007,11.8,
Egypt,2018,-425385,,257.9,55002,,1335980,25827,,,5.31,,,47648.8,,63103,17.1,19.9,,4666.2,,6514.41,915974,628083,9.9,
Egypt,2019,-423019,,290.7,61582,,1505187,28495,,,5.56,,,57272,,66529.4,12.7,18.1,,5596,,6875.82,1080152,736121,7.9,
Egypt,2020,-408509,,105.6,66868,,1580934,26376,,,3.57,,,69352.1,,62841.1,7.2,13.6,,6152.6,,7121.63,1121422,739633,7.9,
Egypt,2021,-459449,,110.2,79426,,1729464,28676.5,,,3.3,,,82445.6,,70736.1,4.3,9.5,,6663.1,,7353.18,1266027,833993,7.4,
Egypt,2022,-477486,,118.1,89708,,1937165,43906.4,,,6.6,,,82275.4,,87302.4,7.3,9.5,,7842.5,,7842.5,1483977,990138,7.2,
Egypt,2023,-580182,,148.7,100966,,2309495,39624,,,3.8,,,83428.3,,70783.6,25.8,14.4,,10155.4,,8137.3,1723717,1258582,7,
Egypt,2024,,,,,,,7670,,,2.4,,,80178.2,,72134.7,29.8,19.3,,,,8332.63,,,6.6,
Egypt,2025,,,,,,,,,,,,,,,,23.95,21,,,,,,,,
Ethiopia,2008,,,,,,,,,,,,,,,,7.8,,,,,,,,,
Ethiopia,2010,,,,,,,,,,,,,,,,7.9,,,,,,,,,
Ethiopia,2011,,,,,,,,,,11.4,396,,,,,8.8,,,478900,80700000,475600,,,,
Ethiopia,2012,,,,,,,,,,8.7,523,,,,,9.1,,,519500,82700000,517000,,,,
Ethiopia,2013,,,,,,,,,,9.9,559,,,,,8.7,,,571700,84800000,568000,,,,
Ethiopia,2014,,,,,,,3300.1,,,10.3,640,,,,13712.3,8.5,,,630300,87000000,627000,,,,
Ethiopia,2015,-30882.1,117145.7,,,,230521.2,3019.1,,,10.4,725,,,,16458.6,10.4,,,696500,89100000,692000,199639.1,165312.5,,
Ethiopia,2016,-36073.4,144184.1,,,,280892.8,6077.3,11.2,,8,814.6,,,,20552.1,9.7,12.8,,1568097.5,91200000,1568097.5,244819.4,190519.7,,
Ethiopia,2017,-59444,153023.5,,,,329658.1,6257.2,7.2,,10.1,875.8,,,,19714,7.4,12.8,,1832553.7,93400000,1717127.2,270214.1,210172.5,,
Ethiopia,2018,-66643.2,143735.1,,,,354205.3,7095.9,13.4,,7.7,883.3,,,,19707.4,14.6,13.5,,2202372.7,95500000,1834066.5,287562.1,235229.5,,
Ethiopia,2019,-68169.2,174949.1,,,,413105.7,7694.9,13.1,,9,983.1,,,,20704.8,12.6,13.5,,2696222.7,97600000,1982516.7,344936.5,268457.4,,
Ethiopia,2020,-93277.4,207576.1,,,,488243.2,7715.7,23.3,,6.1,1079.4,,,,18828.3,19.9,14.3,,3374746.9,99750000,2109180.1,394965.8,311476.5,,
Ethiopia,2021,-120118.5,235409.7,,,,599006.7,8498.9,23.2,,6.3,1091.7,,,,19177,20.2,14.3,,4341024.2,101900000,2227894.7,478888.1,388763.5,,
Ethiopia,2022,-212345.4,262055.7,,,,779099,10457.7,40.3,,6.4,1217.8,,,,23845,33.8,14.3,,6157015.2,104100000,2346748,566753.6,477770.3,,
Ethiopia,2023,-221184.9,355917,,,,938771.6,10855.8,31.7,,7.2,1548.7,,,,23430,32.5,14.3,,8723116.8,105700000,2501498.3,717586.7,593232.1,,
Ethiopia,2024,-246950.7,467457.6,,,,1120077.3,11763.6,28.1,,8.1,1937,,,,25128,26.6,14.3,,11752138,108400000,2684525,873126.5,716172.2,,
Ghana,1971,,,,,,,,,,,,,,,,,8,,,,,,,,
Ghana,1972,,,,,,,,,,,,,,,,,8,,,,,,,,
Ghana,1973,,,,,,,,,,,,,,,,,6,,,,,,,,
Ghana,1974,,,,,,,,,,,,,,,,,6,,,,,,,,
Ghana,1975,,,,,,,,,,,,,,,,,6,,,,,,,,
Ghana,1976,,,,,,,,,,,,,,,,,8,,,,,,,,
Ghana,1977,,,,,,,,,,,,,,,,,8,,,,,,,,
Ghana,1978,,,,,,,,,,,,,,,,,8,,,,,,,,
Ghana,1979,,,,,,,,,,,,,,,,,13.5,,,,,,,,
Ghana,1980,,,,,,,,,,,,,,,,,13.5,,,,,,,,
Ghana,1981,,,,,,,,,,,,,,,,,13.5,,,,,,,,
Ghana,1982,,,,,,,,,,,,,,,,,19.5,,,,,,,,
Ghana,1983,,,,,,,,,,,,,,,,,10.5,,,,,,,,
Ghana,1984,,,,,,,,,,,,,,,,,14.5,,,,,,,,
Ghana,1985,,,,,,,,,,,,,,,,,18,,,,,,,,
Ghana,1986,,,,,,,,,,,,,,,,,18.5,,,,,,,,
Ghana,1987,,,,,,,,,,,,,,,,,23.5,,,,,,,,
Ghana,1988,,,,,,,,,,,,,,,,,26,,,,,,,,
Ghana,1989,,,,,,,,,,,,,,,,,26,,,,,,,,
Ghana,1990,,,,,,,,,,,,,,,,,26,,,,,,,,
Ghana,1991,,,,,,,,,,,,,,,,,35,,,,,,,,
Ghana,1992,,,,,,,,,,,,,,,,,20,,,,,,,,
Ghana,1993,,,,,,,,,,,,,,,,,30,,,,,,,,
Ghana,1994,,,,,,,,,,,,,,,,,30,,,,,,,,
Ghana,1995,,,,,,,,,,,,,,,,,39,,,,,,,,
Ghana,1996,,,,,,,,,,,,,,,,,45,,,,,,,,
Ghana,1997,,,,,,,,,,,,,,,,,45,,,,,,,,
Ghana,1998,,,,,,,,,,,,,,,,,45,,,,,,,,
Ghana,1999,,,,,,,,,,,,,,,,,32,,,,,,,,
Ghana,2000,,,,,,,,,,,,,,,,,27,,,,,,,,
Ghana,2001,,,,,,,,,,,,,,,,,27,,,,,,,,
Ghana,2002,,,,,,,,,,,,,,,,,27,,,,,,,,
Ghana,2003,,,,,,,,,,,,,,,,,25.5,,,,,,,,
Ghana,2004,,,,,,,,,,,,,,,,,21.5,,,,,,,,
Ghana,2005,,,,,,,,,,,,,,,,,18.5,,,,,,,,
Ghana,2006,,,,,,,330.1,,,,,,,,490.8,,14.5,,7051.4,,16714.21,,,,
Ghana,2007,,,,,,,358.4,,,7.5,,,,,592.3,,12.5,,8244.62,,17967.28,,,,
Ghana,2008,,,,,,,406.1,,,8.03,,,,,781.9,,13.5,,11129.81,,19410.59,,,,
Ghana,2009,,,,,,,571.4,,,3.48,,,,,769.8,,17,,12716.5,,20086.83,,,,
Ghana,2010,,,,,,,637.6,,,6.48,,,,,790.2,,18,,17367.17,,21408.68,,,,
Ghana,2011,,,,,,,941.9,,,11.2,,,,,1131,,13.5,,20931.12,,24392.3,,,,
Ghana,2012,-329.9,,96.8,,,1401.1,1319.6,,,10.03,,,,,1268.1,,12.5,,23865.22,,27631.43,1071.2,279.6,,
Ghana,2013,-590,,106.5,,,1480.6,1405.8,8,,7.15,2453.16,,,,1438,10.1,15,,28038.91,26430000,29807.51,1454.7,401.6,,
Ghana,2014,-250.5,,121.2,,,2003.2,1114.6,7.1,,-1.32,1999.18,,22906.67,,1346.5,13.8,16,,32301.4,27040000,29478.1,1752.7,527.3,,
Ghana,2015,-927.8,,141.1,,,2893.4,1044.7,6.9,,11.4,1756.23,,24673.85,,1170.4,16.4,21,,42016.2,27670000,32668.27,1965.6,586.1,,
Ghana,2016,-368.6,,168,,,2558.9,877.1,8.2,,0.76,1978.46,,26461.12,,1124.9,19,26,,53070.62,28310000,32528.34,2222.5,657.3,,
Ghana,2017,-410.5,,190.4,,,3529.8,1306.1,7,,5.38,2083.11,,29765.08,,1059.7,13.3,25.5,,60905.26,28960000,35011.55,3200.6,1269,,
Ghana,2018,-1556.3,,210.1,,,4419.3,1433.93,6.8,,9.96,2272.51,,34123,,1180.48,10.3,20,,72938.57,29614337,38822.39,2991.9,880.1,,
Ghana,2019,-1072.3,,229,,,4747.1,1342.32,8,,5.41,2256.81,,36808.75,,1256.84,9,16,,82086.73,30280811,41103.53,3914.2,1439.4,,
Ghana,2020,-2594.2,,111.6,,,7195.8,1437.07,7.8,,6.33,2272.46,,41555.7,,1128.18,7.8,16,,96590.19,30816511,43742.77,4800.9,1912.1,,
Ghana,2021,-1992.5,,122.7,,,6747.6,1355.33,12.8,,5.27,2579.28,,53786.86,,1135.44,9.9,14.5,,109446.5,30832019,45450.04,4936.1,1819.5,,
Ghana,2022,-5013.4,,139.7,,,10229.2,1218.52,13.7,,4.15,2368.9,,60160.8,,1135.17,13.9,14.5,,134907.6,31350393,46936.7,5215.77,1511.7,,
Ghana,2023,-3333.4,,165.6,,,11852.37,1506.44,61,,4.34,2569.5,,52186.88,,984.06,53.6,28,,212506.8,31350393,48419.4,8518.98,3194.54,,
Ghana,2024,-9420.05,,204.55,,,15035.92,1364.99,27.1,,4.34,2513.11,,52829.32,,1375.47,23.52,29,,272002,33010000,50620,9979.52,2638.32,,
Ghana,2025,-5428.13,,252.62,,,18894.25,2408.13,28.3,,,,,49133.44,,1410.73,23.48,27,,360013.1,,53825,12987.23,4681.29,,
Ivory Coast,1960,1.5,,,,,24.3,,,,,,,,,,,,,140.7,,,25.8,24.5,,
Ivory Coast,1961,2.3,,,,,28.6,,,,,,,,,,,,,159.3,,,30.9,29.9,,
Ivory Coast,1962,-0.9,,,,,31.8,,,,,,,,,,,,,166.1,,,30.9,29.8,,
Ivory Coast,1963,1.2,,,,,33.6,,,,,,,,,,,,,195.9,,,34.8,33.9,,
Ivory Coast,1964,0.3,,,,,43.8,73186,,,,,,,,,,,,237.1,,,44.1,42.7,,
Ivory Coast,1965,-2.6,,,,,51.5,68418.2,,,,,,,,58343,,,,236.8,,3864.54,48.9,48.9,,
Ivory Coast,1966,-4.7,,,,,58.2,76658.5,,,,,,,,62792,,,,236.8,,4311.88,53.5,50.6,,
Ivory Coast,1967,-6.4,,,,,59.1,80262.6,,,,,,,,65050,,,,257.3,,4509.99,52.7,47.8,,
Ivory Coast,1968,2.2,,,,,71.5,104224.6,,,,,,,,75831,,,,274.4,,5075.85,73.7,69.3,,
Ivory Coast,1969,-8.3,,,,,80.3,,,,,,,,,,,,,325.1,,5560.11,72,69.4,,
Ivory Coast,1970,-13.4,,,,,96.8,130190.4,,,,,,,,107704,,,,364,,6137.15,83.4,83,,
Ivory Coast,1971,-20.4,,8.49,,,110.8,126558.5,,,,,,,,110838,,,,414,,6717.57,90.4,89.9,,
Ivory Coast,1972,-6.3,,8.52,,,108.5,139540.7,,,,,,,,114317,,,,439.3,,7002.03,102.2,102.2,,
Ivory Coast,1973,-6.6,,9.47,,,125.3,190856.3,,,,,,,,157522,,,,471.6,,7417.88,118.7,117.7,,
Ivory Coast,1974,-1.1,,11.12,,,156.6,291770.5,,,,,,,,232286,,,,559.1,,7738.91,155.5,139.6,,
Ivory Coast,1975,-18.2,,12.38,,,231.3,254571.7,,,,,,,,241393,,,,566.2,,8377.58,213.1,168.3,,
Ivory Coast,1976,-41.1,,13.86,,,362.7,392501,,,,,,,,311607,,,,739,,9459.53,321.6,236.7,,
Ivory Coast,1977,20.2,,17.68,,,568.4,529211.7,,,,,,,,429566,,,,834.5,,10151.71,588.6,317.8,,
Ivory Coast,1978,-148.7,,19.96,,,755.7,524382.2,,,,,,,,522502,,,,939.9,,11259.05,607,370.6,,
Ivory Coast,1979,-202,,23.29,,,843,534846.9,,,,,,,,528850,,,,1539.2,,11528.61,641,406.1,,
Ivory Coast,1980,-272,,26.7,,,890,663919,,,,,,,,631899,,,,1782.8,,10265.49,618,459.7,,
Ivory Coast,1981,-260,,29.05,,,891,689298,,,,,,,,653321,,,,1944.9,,10624.78,631,525.4,,
Ivory Coast,1982,-331.1,,31.19,,,1003.1,747452,,,,,,,,718593,,,,2149.9,,10646.12,672,546.3,,
Ivory Coast,1983,-262,,33.04,,,1025,796774,,,,,,,,704249,,,,2291.4,,10230.95,763,548.2,,
Ivory Coast,1984,-29,,34.45,,,925,1184347,,,,,,,,658569,,,,2486.6,,9954.62,896,587,,
Ivory Coast,1985,90,,35.08,,,1006,1318100,,,,,,,,773000,,,,3135,,10402.64,1096,621,,
Ivory Coast,1986,-95.5,,37.49,,,1035,1160400,,,,,,,,709000,,,,3172,,10741.61,939.5,660.2,,
Ivory Coast,1987,-257,,40.07,,,1051.2,929100,,,,,,,,673900,,,,3031.8,,10710.12,794.2,670.4,,
Ivory Coast,1988,-447.1,,42.85,,,1236.3,826500,,,,,,,,619900,,,,3054.5,,10822.21,789.2,624,,
Ivory Coast,1989,-517.9,,43.29,,,1197.5,895700,,,,,,,,673400,,,,3109.5,,11146.63,679.6,563.2,,
Ivory Coast,1990,-352.2,,42.95,,,983,793012.4,,,-1.6,,,,,571103.3,,,,3725.61,11910540,11023.7,630.8,516.1,,
Ivory Coast,1991,-384.3,,43.69,,,973.8,763073.9,,,0,,,,,593373.7,,,,4089.15,12369269,11023.7,589.5,499.9,,
Ivory Coast,1992,-344.8,,45.43,,,942.3,801362.7,,,-0.1,,,,,615149.1,,,,4076.32,12838314,11013.98,597.5,499.8,,
Ivory Coast,1993,-350.9,,46.65,,,883.9,713229,,,-0.4,,,,,570473.3,,,,4073.26,13316448,10968.86,533,435.3,,
Ivory Coast,1994,-289.4,,58.77,,,1166,1522420,,,2.1,,,,,1056147,,,,5883.59,13802285,11199.08,876.6,678.5,,
Ivory Coast,1995,-184.3,,67.18,,,1322.6,1819297,,,7.1,,,,,1469768,,,,7558.21,14299727,11994.34,1138.3,897.4,,
Ivory Coast,1996,-112.6,,68.43,,,1385.1,2188326,,,6.9,,,,,1443422,,,,8584.26,14810946,12821.84,1272.5,1040.7,,
Ivory Coast,1997,-122.4,,63.6,,,1494.5,2495623,,,5.7,,,,,1608649,,,,9457.93,15335453,13555.62,1372.1,1112.8,,
Ivory Coast,1998,-118.3,,66.5,,,1557.4,2592600,,,4.9,,,,,1764600,5.12,,,10285.48,15858990,14224.03,1439.1,1142.1,,
Ivory Coast,1999,-185.1,,66.5,,,1521.6,2758513,,,1.6,,,,,1777816,1.87,,,10533.97,16345894,14454.08,1336.5,1149.1,,
